rank,album_name,last_week,peak_position,wks_on_rank,artist_name,date
152, Cosmic Hallelujah ,120,2,17, Kenny Chesney , 4/15/2017
153, The Fame ,140,2,180, Lady Gaga , 4/15/2017
154, Recovery ,163,1,272, Eminem , 4/15/2017
155, Nevermind ,171,1,355, Nirvana , 4/15/2017
156, Too Weird To Live  Too Rare To Die! ,166,2,103, Panic! At The Disco , 4/15/2017
157, Nine Track Mind ,156,6,59, Charlie Puth , 4/15/2017
158, Thriller ,129,1,292, Michael Jackson , 4/15/2017
159, Immortalized ,162,1,84, Disturbed , 4/15/2017
160, The Pinkprint ,158,2,114, Nicki Minaj , 4/15/2017
161, The Marshall Mathers LP 2 ,172,1,168, Eminem , 4/15/2017
162, Handwritten ,161,1,102, Shawn Mendes , 4/15/2017
163, The Flash: Music From The Special Episode: Duet (EP) ,89,89,2, Soundtrack , 4/15/2017
164, I Am...Sasha Fierce ,165,1,148, Beyonce , 4/15/2017
165, This Is A Challenge ,185,93,15, Various Artists , 4/15/2017
166, EVOL ,169,1,56, Future , 4/15/2017
167, Dark Sky Paradise ,177,1,103, Big Sean , 4/15/2017
168, This One's For You (EP) ,181,168,2, Luke Combs , 4/15/2017
169, SremmLife ,180,5,115, Rae Sremmurd , 4/15/2017
170, Greatest Hits: Decade #1 ,167,4,117, Carrie Underwood , 4/15/2017
171, Major Key ,170,1,35, DJ Khaled , 4/15/2017
172, Lil Big Pac ,175,134,15, Kodak Black , 4/15/2017
173, My Beautiful Dark Twisted Fantasy ,189,1,96, Kanye West , 4/15/2017
174, Def Jam Presents: Direct Deposit  Vol. 2 ,120,145,3, Various Artists , 4/15/2017
175, PARTYNEXTDOOR 3 (P3) ,168,3,32, PARTYNEXTDOOR , 4/15/2017
176, Fenix ,192,28,10, Nicky Jam , 4/15/2017
177, The Afterlove ,120,177,1, James Blunt , 4/15/2017
178, Human ,138,126,3, Rag'n'Bone Man , 4/15/2017
179, The Ultimate Hits ,120,3,132, Garth Brooks , 4/15/2017
180, The Very Best Of The Eagles ,197,3,185, Eagles , 4/15/2017
181, I'm Comin' Over ,120,5,52, Chris Young , 4/15/2017
182, Late Nights: The Album ,187,42,64, Jeremih , 4/15/2017
183, Hymnals: A Journey Of Faith Through Hymns ,120,183,1, David Phelps , 4/15/2017
184, Climate Change ,29,29,2, Pitbull , 4/15/2017
185, Demon Days ,120,6,69, Gorillaz , 4/15/2017
186, These Things Happen ,191,3,137, G-Eazy , 4/15/2017
187, Heartless ,120,187,1, Pallbearer , 4/15/2017
188, Meat And Candy ,120,16,61, Old Dominion , 4/15/2017
189, Because The Internet ,196,7,125, Childish Gambino , 4/15/2017
190, In It To Win It ,147,7,6, Charlie Wilson , 4/15/2017
191,1989,195,1,127, Taylor Swift , 4/15/2017
192, The Weight Of These Wings ,154,3,19, Miranda Lambert , 4/15/2017
193, Title ,120,1,104, Meghan Trainor , 4/15/2017
194, Graduation ,194,1,119, Kanye West , 4/15/2017
195, All Your Fault: Pt. 1 (EP) ,174,51,6, Bebe Rexha , 4/15/2017
196, V ,183,1,121, Maroon 5 , 4/15/2017
197, Born Sinner ,120,1,100, J. Cole , 4/15/2017
198, Confessions ,198,1,123, Usher , 4/15/2017
199, The Best Of Nickelback: Volume 1 ,120,21,34, Nickelback , 4/15/2017
200, Beauty And The Beast ,122,19,78, Soundtrack , 4/15/2017
