55,Slide,48,34,4,Calvin Harris Featuring Frank Ocean & Migos,2017-04-08
56,Party,44,40,14,Chris Brown Featuring Usher & Gucci Mane,2017-04-08
57,Believer,42,41,7,Imagine Dragons,2017-04-08
58,Both,51,41,14,Gucci Mane Featuring Drake,2017-04-08
59,Goosebumps,50,50,20,Travis Scott,2017-04-08
60,Do Not Disturb,120,60,1,Drake,2017-04-08
61,Nothings Into Somethings,120,61,1,Drake,2017-04-08
62,Ice Melts,120,62,1,Drake Featuring Young Thug,2017-04-08
63,How Far I'll Go,46,41,15,Auli'i Cravalho,2017-04-08
64,Lose You,120,64,1,Drake,2017-04-08
65,Green Light,39,19,4,Lorde,2017-04-08
66,Look At Me!,65,61,7,XXXTENTACION,2017-04-08
67,In Case You Didn't Know,68,51,7,Brett Young,2017-04-08
68,Hurricane,66,55,6,Luke Combs,2017-04-08
69,Fast,64,60,9,Luke Bryan,2017-04-08
70,Since Way Back,120,70,1,Drake Featuring PARTYNEXTDOOR,2017-04-08
71,Redbone,56,48,16,Childish Gambino,2017-04-08
72,Castle On The Hill,52,6,11,Ed Sheeran,2017-04-08
73,Make Me (Cry),47,46,15,Noah Cyrus Featuring Labrinth,2017-04-08
74,Any Ol' Barstool,70,62,9,Jason Aldean,2017-04-08
75,Everyday,55,55,6,Ariana Grande Featuring Future,2017-04-08
76,Skepta Interlude,120,76,1,Drake,2017-04-08
77,Play That Song,58,41,17,Train,2017-04-08
78,The Fighter,87,53,7,Keith Urban Featuring Carrie Underwood,2017-04-08
79,Heavy,69,52,5,Linkin Park Featuring Kiiara,2017-04-08
80,Deja Vu,57,7,15,J. Cole,2017-04-08
81,Think A Little Less,54,54,13,Michael Ray,2017-04-08
82,Can't Have Everything,120,82,1,Drake,2017-04-08
83,Moves,73,38,13,Big Sean,2017-04-08
84,No Frauds,14,14,2,Nicki Minaj  Drake & Lil Wayne,2017-04-08
85,Selfish,59,37,4,Future Featuring Rihanna,2017-04-08
86,Shining,67,57,6,DJ Khaled Featuring Beyonce & JAY Z,2017-04-08
87,Road Less Traveled,80,69,9,Lauren Alaina,2017-04-08
88,At My Best,120,88,1,Machine Gun Kelly Featuring Hailee Steinfeld,2017-04-08
89,Galway Girl,63,53,3,Ed Sheeran,2017-04-08
90,Call On Me,75,70,12,Starley,2017-04-08
91,Losin Control,79,77,4,Russ,2017-04-08
92,Hometown Girl,81,72,4,Josh Turner,2017-04-08
93,The Weekend,84,69,12,Brantley Gilbert,2017-04-08
94,Perfect,60,37,3,Ed Sheeran,2017-04-08
95,Draco,74,46,5,Future,2017-04-08
96,Kill A Word,83,71,15,Eric Church Featuring Rhiannon Giddens,2017-04-08
97,Trap Trap Trap,120,97,1,Rick Ross Featuring Young Thug & Wale,2017-04-08
98,Swalla,120,65,1,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,2017-04-08
99,Party Monster,77,16,18,The Weeknd,2017-04-08
100,How Far I'll Go,76,56,16,Alessia Cara,2017-04-08
1,Shape Of You,1,1,10,Ed Sheeran,2017-04-01
2,That's What I Like,3,2,9,Bruno Mars,2017-04-01
3,Bad And Boujee,2,1,18,Migos Featuring Lil Uzi Vert,2017-04-01
4,I Don't Wanna Live Forever (Fifty Shades Darker),4,2,14,Zayn / Taylor Swift,2017-04-01
5,I Feel It Coming,12,4,17,The Weeknd Featuring Daft Punk,2017-04-01
6,Tunnel Vision,6,6,4,Kodak Black,2017-04-01
7,Love On The Brain,5,5,22,Rihanna,2017-04-01
8,Something Just Like This,11,5,4,The Chainsmokers & Coldplay,2017-04-01
9,Paris,7,6,9,The Chainsmokers,2017-04-01
10,iSpy,14,10,12,KYLE Featuring Lil Yachty,2017-04-01
11,Bounce Back,8,6,19,Big Sean,2017-04-01
12,Rockabye,9,9,15,Clean Bandit Featuring Sean Paul & Anne-Marie,2017-04-01
13,Closer,10,1,33,The Chainsmokers Featuring Halsey,2017-04-01
14,No Frauds,120,14,1,Nicki Minaj  Drake & Lil Wayne,2017-04-01
