19,Drake,8,13,301,2017-03-04
20,Adele,120,1,235,2017-03-04
21,twenty one pilots,37,13,44,2017-03-04
22,Nicki Minaj,11,13,321,2017-03-04
23,Lauren Jauregui,23,13,11,2017-03-04
24,Beyonce,4,1,319,2017-03-04
25,Snoop Dogg,25,13,288,2017-03-04
26,Mario Bautista,32,13,37,2017-03-04
27,Shawn Mendes,26,13,113,2017-03-04
28,J Balvin,35,13,16,2017-03-04
29,The Chainsmokers,39,13,28,2017-03-04
30,Big Sean,15,13,29,2017-03-04
31,Rihanna,20,1,315,2017-03-04
32,Bruno Mars,120,2,256,2017-03-04
33,Nick Jonas,120,13,37,2017-03-04
34,Britney Spears,38,2,277,2017-03-04
35,Martin Garrix,43,13,136,2017-03-04
36,Zendaya,14,13,132,2017-03-04
37,Lucy Hale,42,13,135,2017-03-04
38,Metallica,120,29,38,2017-03-04
39,Nicky Jam,30,13,9,2017-03-04
40,Steve Aoki,46,13,6,2017-03-04
41,Kodak Black,120,13,9,2017-03-04
42,Cardi B,120,13,1,2017-03-04
43,Marshmello,40,13,20,2017-03-04
44,DJ Morphius,24,13,3,2017-03-04
45,Bebe Rexha,120,13,3,2017-03-04
46,Sabrina Carpenter,120,13,8,2017-03-04
47,Little Mix,29,13,125,2017-03-04
48,Shakira,36,13,320,2017-03-04
49,Kygo,120,13,1,2017-03-04
50,John Legend,120,13,9,2017-03-04
1,BTS,1,13,18,2017-02-25
2,Lady Gaga,39,1,319,2017-02-25
3,Ariana Grande,2,13,221,2017-02-25
4,Beyonce,8,1,318,2017-02-25
5,Selena Gomez,4,13,321,2017-02-25
6,Zayn,11,13,53,2017-02-25
7,Louis Tomlinson,19,13,8,2017-02-25
8,Drake,6,13,300,2017-02-25
9,Maluma,18,13,17,2017-02-25
10,Taylor Swift,12,1,325,2017-02-25
11,Nicki Minaj,15,13,320,2017-02-25
12,Justin Bieber,14,1,325,2017-02-25
13,Chris Brown,10,13,296,2017-02-25
14,Zendaya,21,13,131,2017-02-25
15,Big Sean,120,13,28,2017-02-25
16,Jennifer Lopez,13,13,310,2017-02-25
17,The Weeknd,33,13,73,2017-02-25
18,Demi Lovato,29,13,314,2017-02-25
19,Ed Sheeran,5,3,110,2017-02-25
20,Rihanna,3,1,314,2017-02-25
21,Lali,25,13,35,2017-02-25
22,Chance The Rapper,120,13,21,2017-02-25
23,Lauren Jauregui,9,13,10,2017-02-25
24,DJ Morphius,27,13,2,2017-02-25
25,Snoop Dogg,20,13,287,2017-02-25
26,Shawn Mendes,7,13,112,2017-02-25
27,Katy Perry,120,1,321,2017-02-25
28,CL,120,17,5,2017-02-25
29,Little Mix,41,13,124,2017-02-25
30,Nicky Jam,45,13,8,2017-02-25
31,Camila Cabello,17,13,55,2017-02-25
32,Mario Bautista,23,13,36,2017-02-25
33,Miley Cyrus,22,1,253,2017-02-25
34,Dulce Maria,24,7,24,2017-02-25
35,J Balvin,42,13,15,2017-02-25
36,Shakira,36,13,319,2017-02-25
37,twenty one pilots,37,13,43,2017-02-25
38,Britney Spears,35,2,276,2017-02-25
39,The Chainsmokers,26,13,27,2017-02-25
40,Marshmello,48,13,19,2017-02-25
41,Niall Horan,16,13,20,2017-02-25
42,Lucy Hale,46,13,134,2017-02-25
43,Martin Garrix,30,13,135,2017-02-25
44,Anitta,120,13,17,2017-02-25
45,Conor Maynard,120,13,5,2017-02-25
46,Steve Aoki,43,13,5,2017-02-25
47,Liam Payne,47,13,8,2017-02-25
48,Wiz Khalifa,32,13,310,2017-02-25
49,Migos,28,13,3,2017-02-25
50,Jacob Sartorius,40,13,36,2017-02-25
1,BTS,1,13,17,2017-02-18
2,Ariana Grande,2,13,220,2017-02-18
3,Rihanna,6,1,313,2017-02-18
4,Selena Gomez,120,13,320,2017-02-18
5,Ed Sheeran,12,3,109,2017-02-18
6,Drake,36,13,299,2017-02-18
7,Shawn Mendes,11,13,111,2017-02-18
8,Beyonce,34,1,317,2017-02-18
9,Lauren Jauregui,4,13,9,2017-02-18
10,Chris Brown,27,13,295,2017-02-18
11,Zayn,24,13,52,2017-02-18
12,Taylor Swift,28,1,324,2017-02-18
13,Jennifer Lopez,5,13,309,2017-02-18
14,Justin Bieber,15,1,324,2017-02-18
15,Nicki Minaj,120,13,319,2017-02-18
16,Niall Horan,42,13,19,2017-02-18
17,Camila Cabello,14,13,54,2017-02-18
18,Maluma,10,13,16,2017-02-18
19,Louis Tomlinson,8,13,7,2017-02-18
20,Snoop Dogg,17,13,286,2017-02-18
21,Zendaya,7,13,130,2017-02-18
22,Miley Cyrus,3,1,252,2017-02-18
23,Mario Bautista,20,13,35,2017-02-18
24,Dulce Maria,46,7,23,2017-02-18
25,Lali,9,13,34,2017-02-18
26,The Chainsmokers,25,13,26,2017-02-18
27,DJ Morphius,120,13,1,2017-02-18
28,Migos,120,13,2,2017-02-18
29,Demi Lovato,13,13,313,2017-02-18
30,Martin Garrix,37,13,134,2017-02-18
31,Kodak Black,120,13,8,2017-02-18
32,Wiz Khalifa,41,13,309,2017-02-18
33,The Weeknd,19,13,72,2017-02-18
34,TAEYEON,16,13,4,2017-02-18
35,Britney Spears,23,2,275,2017-02-18
36,Shakira,18,13,318,2017-02-18
37,twenty one pilots,39,13,42,2017-02-18
38,CNCO,120,13,1,2017-02-18
39,Lady Gaga,47,1,318,2017-02-18
40,Jacob Sartorius,26,13,35,2017-02-18
41,Little Mix,22,13,123,2017-02-18
42,J Balvin,33,13,14,2017-02-18
43,Steve Aoki,29,13,4,2017-02-18
44,Red Velvet,120,13,1,2017-02-18
45,Nicky Jam,21,13,7,2017-02-18
46,Lucy Hale,120,13,133,2017-02-18
47,Liam Payne,120,13,7,2017-02-18
48,Marshmello,40,13,18,2017-02-18
49,Luan Santana,120,13,21,2017-02-18
50,Kanye West,120,2,93,2017-02-18
1,BTS,1,13,16,2017-02-11
2,Ariana Grande,2,13,219,2017-02-11
3,Miley Cyrus,3,1,251,2017-02-11
4,Lauren Jauregui,13,13,8,2017-02-11
5,Jennifer Lopez,6,13,308,2017-02-11
6,Rihanna,26,1,312,2017-02-11
7,Zendaya,9,13,129,2017-02-11
8,Louis Tomlinson,24,13,6,2017-02-11
9,Lali,10,13,33,2017-02-11
10,Maluma,14,13,15,2017-02-11
11,Shawn Mendes,8,13,110,2017-02-11
12,Ed Sheeran,5,3,108,2017-02-11
13,Demi Lovato,12,13,312,2017-02-11
14,Camila Cabello,48,13,53,2017-02-11
15,Justin Bieber,4,1,323,2017-02-11
16,TAEYEON,31,13,3,2017-02-11
17,Snoop Dogg,120,13,285,2017-02-11
18,Shakira,36,13,317,2017-02-11
19,The Weeknd,7,13,71,2017-02-11
20,Mario Bautista,18,13,34,2017-02-11
21,Nicky Jam,20,13,6,2017-02-11
22,Little Mix,29,13,122,2017-02-11
23,Britney Spears,120,2,274,2017-02-11
24,Zayn,23,13,51,2017-02-11
25,The Chainsmokers,120,13,25,2017-02-11
26,Jacob Sartorius,16,13,34,2017-02-11
27,Chris Brown,15,13,294,2017-02-11
28,Taylor Swift,22,1,323,2017-02-11
29,Steve Aoki,120,13,3,2017-02-11
30,Katy Perry,120,1,320,2017-02-11
31,Fifth Harmony,11,13,87,2017-02-11
32,Halsey,120,8,33,2017-02-11
33,J Balvin,35,13,13,2017-02-11
34,Beyonce,50,1,316,2017-02-11
35,Big Sean,120,13,27,2017-02-11
36,Drake,39,13,298,2017-02-11
37,Martin Garrix,32,13,133,2017-02-11
38,Bruno Mars,41,2,255,2017-02-11
39,twenty one pilots,30,13,41,2017-02-11
40,Marshmello,19,13,17,2017-02-11
41,Wiz Khalifa,40,13,308,2017-02-11
42,Niall Horan,27,13,18,2017-02-11
43,Madonna,120,13,37,2017-02-11
44,Alicia Keys,120,6,111,2017-02-11
45,Melanie Martinez,120,13,26,2017-02-11
46,Dulce Maria,17,7,22,2017-02-11
47,Lady Gaga,49,1,317,2017-02-11
48,John Legend,120,13,8,2017-02-11
49,Troye Sivan,44,13,78,2017-02-11
50,Anitta,28,13,16,2017-02-11
1,BTS,2,13,15,2017-02-04
2,Ariana Grande,1,13,218,2017-02-04
3,Miley Cyrus,16,1,250,2017-02-04
4,Justin Bieber,6,1,322,2017-02-04
5,Ed Sheeran,3,3,107,2017-02-04
6,Jennifer Lopez,23,13,307,2017-02-04
7,The Weeknd,13,13,70,2017-02-04
8,Shawn Mendes,10,13,109,2017-02-04
9,Zendaya,5,13,128,2017-02-04
10,Lali,12,13,32,2017-02-04
11,Fifth Harmony,24,13,86,2017-02-04
12,Demi Lovato,9,13,311,2017-02-04
13,Lauren Jauregui,45,13,7,2017-02-04
14,Maluma,11,13,14,2017-02-04
15,Chris Brown,4,13,293,2017-02-04
16,Jacob Sartorius,14,13,33,2017-02-04
17,Dulce Maria,120,7,21,2017-02-04
18,Mario Bautista,33,13,33,2017-02-04
19,Marshmello,15,13,16,2017-02-04
20,Nicky Jam,40,13,5,2017-02-04
21,Selena Gomez,7,13,319,2017-02-04
22,Taylor Swift,21,1,322,2017-02-04
23,Zayn,8,13,50,2017-02-04
24,Louis Tomlinson,120,13,5,2017-02-04
25,Kodak Black,38,13,7,2017-02-04
26,Rihanna,39,1,311,2017-02-04
27,Niall Horan,22,13,17,2017-02-04
28,Anitta,19,13,15,2017-02-04
29,Little Mix,120,13,121,2017-02-04
30,twenty one pilots,120,13,40,2017-02-04
31,TAEYEON,120,13,2,2017-02-04
32,Martin Garrix,31,13,132,2017-02-04
33,Luis Fonsi,120,13,1,2017-02-04
34,BLACKPINK,120,13,6,2017-02-04
35,J Balvin,26,13,12,2017-02-04
36,Shakira,17,13,316,2017-02-04
37,DJ Snake,120,13,7,2017-02-04
38,Rae Sremmurd,120,13,7,2017-02-04
39,Drake,20,13,297,2017-02-04
40,Wiz Khalifa,41,13,307,2017-02-04
41,Bruno Mars,35,2,254,2017-02-04
42,Alan Walker,47,13,5,2017-02-04
43,One Direction,120,13,254,2017-02-04
44,Troye Sivan,120,13,77,2017-02-04
45,Bebe Rexha,28,13,2,2017-02-04
46,A$AP Rocky,120,13,3,2017-02-04
47,Sia,46,13,6,2017-02-04
48,Camila Cabello,18,13,52,2017-02-04
49,Lady Gaga,27,1,316,2017-02-04
50,Beyonce,120,1,315,2017-02-04
1,Ariana Grande,2,13,217,2017-01-28
2,BTS,1,13,14,2017-01-28
3,Ed Sheeran,5,3,106,2017-01-28
4,Chris Brown,4,13,292,2017-01-28
5,Zendaya,30,13,127,2017-01-28
6,Justin Bieber,9,1,321,2017-01-28
7,Selena Gomez,38,13,318,2017-01-28
8,Zayn,11,13,49,2017-01-28
9,Demi Lovato,48,13,310,2017-01-28
10,Shawn Mendes,7,13,108,2017-01-28
11,Maluma,19,13,13,2017-01-28
12,Lali,15,13,31,2017-01-28
13,The Weeknd,37,13,69,2017-01-28
14,Jacob Sartorius,16,13,32,2017-01-28
15,Marshmello,34,13,15,2017-01-28
16,Miley Cyrus,3,1,249,2017-01-28
17,Shakira,8,13,315,2017-01-28
18,Camila Cabello,13,13,51,2017-01-28
19,Anitta,120,13,14,2017-01-28
20,Drake,12,13,296,2017-01-28
21,Taylor Swift,35,1,321,2017-01-28
22,Niall Horan,10,13,16,2017-01-28
23,Jennifer Lopez,21,13,306,2017-01-28
24,Fifth Harmony,29,13,85,2017-01-28
25,Lucy Hale,17,13,132,2017-01-28
26,J Balvin,28,13,11,2017-01-28
27,Lady Gaga,120,1,315,2017-01-28
28,Bebe Rexha,120,13,1,2017-01-28
29,The Chainsmokers,33,13,24,2017-01-28
30,Katy Perry,43,1,319,2017-01-28
31,Martin Garrix,32,13,131,2017-01-28
32,Migos,120,13,1,2017-01-28
33,Mario Bautista,24,13,32,2017-01-28
