2,Bad And Boujee,2,1,16,Migos Featuring Lil Uzi Vert,2017-03-18
3,I Don't Wanna Live Forever (Fifty Shades Darker),3,2,12,Zayn / Taylor Swift,2017-03-18
4,That's What I Like,4,2,7,Bruno Mars,2017-03-18
5,Something Just Like This,56,5,2,The Chainsmokers & Coldplay,2017-03-18
6,Love On The Brain,7,5,20,Rihanna,2017-03-18
7,Paris,6,6,7,The Chainsmokers,2017-03-18
8,Tunnel Vision,27,6,2,Kodak Black,2017-03-18
9,Bounce Back,9,6,17,Big Sean,2017-03-18
10,Closer,5,1,31,The Chainsmokers Featuring Halsey,2017-03-18
11,I Feel It Coming,11,4,15,The Weeknd Featuring Daft Punk,2017-03-18
12,Chained To The Rhythm,8,4,3,Katy Perry Featuring Skip Marley,2017-03-18
13,Can't Stop The Feeling!,29,1,43,Justin Timberlake,2017-03-18
14,iSpy,20,14,10,KYLE Featuring Lil Yachty,2017-03-18
15,Bad Things,10,4,18,Machine Gun Kelly x Camila Cabello,2017-03-18
16,Fake Love,13,8,19,Drake,2017-03-18
17,Mercy,18,15,24,Shawn Mendes,2017-03-18
18,24K Magic,15,4,21,Bruno Mars,2017-03-18
19,Scars To Your Beautiful,14,8,27,Alessia Cara,2017-03-18
20,Body Like A Back Road,22,12,5,Sam Hunt,2017-03-18
21,Down,25,21,7,Marian Hill,2017-03-18
22,It Ain't Me,12,12,3,Kygo x Selena Gomez,2017-03-18
23,Starboy,17,1,24,The Weeknd Featuring Daft Punk,2017-03-18
24,Rockabye,21,9,13,Clean Bandit Featuring Sean Paul & Anne-Marie,2017-03-18
25,Don't Wanna Know,19,6,21,Maroon 5 Featuring Kendrick Lamar,2017-03-18
26,Say You Won't Let Go,28,19,19,James Arthur,2017-03-18
27,Issues,33,23,6,Julia Michaels,2017-03-18
28,Stay,120,28,1,Zedd & Alessia Cara,2017-03-18
29,Black Beatles,16,1,25,Rae Sremmurd Featuring Gucci Mane,2017-03-18
30,Million Reasons,30,4,15,Lady Gaga,2017-03-18
31,T-Shirt,32,19,7,Migos,2017-03-18
32,Cold,23,16,3,Maroon 5 Featuring Future,2017-03-18
33,All Time Low,26,16,21,Jon Bellion,2017-03-18
34,Slide,120,34,1,Calvin Harris Featuring Frank Ocean & Migos,2017-03-18
35,Congratulations,36,28,10,Post Malone Featuring Quavo,2017-03-18
36,Let Me Love You,31,4,30,DJ Snake Featuring Justin Bieber,2017-03-18
37,Selfish,120,37,1,Future Featuring Rihanna,2017-03-18
38,Caroline,24,11,26,Amine,2017-03-18
39,Side To Side,34,4,27,Ariana Grande Featuring Nicki Minaj,2017-03-18
40,Swang,35,33,11,Rae Sremmurd,2017-03-18
41,Water Under The Bridge,37,26,17,Adele,2017-03-18
42,Better Man,39,34,18,Little Big Town,2017-03-18
43,Heathens,38,2,37,twenty one pilots,2017-03-18
44,Dirt On My Boots,42,37,13,Jon Pardi,2017-03-18
45,Treat You Better,40,6,39,Shawn Mendes,2017-03-18
46,Mask Off,49,18,2,Future,2017-03-18
47,Party,45,40,11,Chris Brown Featuring Usher & Gucci Mane,2017-03-18
48,Comin Out Strong,120,48,1,Future Featuring The Weeknd,2017-03-18
49,Both,50,41,11,Gucci Mane Featuring Drake,2017-03-18
50,I Got You,43,43,9,Bebe Rexha,2017-03-18
51,Location,51,24,8,Khalid,2017-03-18
52,Despacito,59,44,7,Luis Fonsi Featuring Daddy Yankee,2017-03-18
53,How Far I'll Go,120,41,12,Auli'i Cravalho,2017-03-18
54,Deja Vu,55,7,12,J. Cole,2017-03-18
55,Think A Little Less,58,54,10,Michael Ray,2017-03-18
56,Make Me (Cry),53,46,12,Noah Cyrus Featuring Labrinth,2017-03-18
57,Goosebumps,62,50,17,Travis Scott,2017-03-18
58,Everyday,78,55,3,Ariana Grande Featuring Future,2017-03-18
59,Believer,65,41,4,Imagine Dragons,2017-03-18
60,Rolex,68,34,3,Ayo & Teo,2017-03-18
61,Shining,57,57,3,DJ Khaled Featuring Beyonce & JAY Z,2017-03-18
62,Play That Song,60,41,14,Train,2017-03-18
63,Sober Saturday Night,61,47,9,Chris Young Featuring Vince Gill,2017-03-18
64,Draco,46,46,2,Future,2017-03-18
65,Moves,63,38,10,Big Sean,2017-03-18
66,Look At Me!,70,66,4,XXXTENTACION,2017-03-18
67,Party Monster,64,16,15,The Weeknd,2017-03-18
68,Fast,76,60,6,Luke Bryan,2017-03-18
69,Today,71,67,9,Brad Paisley,2017-03-18
70,Any Ol' Barstool,73,62,6,Jason Aldean,2017-03-18
71,Call On Me,72,70,9,Starley,2017-03-18
72,Cash Me Outside (#CashMeOutside),96,72,3,DJ Suede The Remix God,2017-03-18
73,Love,44,44,2,Lana Del Rey,2017-03-18
74,Hurricane,82,55,3,Luke Combs,2017-03-18
75,Castle On The Hill,66,6,8,Ed Sheeran,2017-03-18
