11, Shawn Mendes ,11,1,109, 2017-03-25
12, twenty one pilots ,13,1,99, 2017-03-25
13, Big Sean ,12,1,83, 2017-03-25
14, Justin Bieber ,15,1,140, 2017-03-25
15, Maroon 5 ,22,1,141, 2017-03-25
16, Lady Gaga ,16,1,41, 2017-03-25
17, Alessia Cara ,17,1,79, 2017-03-25
18, Sam Hunt ,21,1,134, 2017-03-25
19, Taylor Swift ,24,1,137, 2017-03-25
20, Ariana Grande ,23,1,139, 2017-03-25
21, Katy Perry ,26,6,135, 2017-03-25
22, Imagine Dragons ,51,2,109, 2017-03-25
23, Little Big Town ,7,1,60, 2017-03-25
24, Lorde ,99,1,39, 2017-03-25
25, Kodak Black ,27,1,10, 2017-03-25
26, Zayn ,32,1,46, 2017-03-25
27, Rae Sremmurd ,28,1,105, 2017-03-25
28, Khalid ,120,28,1, 2017-03-25
29, Coldplay ,37,4,93, 2017-03-25
30, Justin Timberlake ,25,5,95, 2017-03-25
31, BTS ,34,1,22, 2017-03-25
32, Keith Urban ,31,1,102, 2017-03-25
33, Marian Hill ,29,1,8, 2017-03-25
34, Luke Bryan ,40,1,140, 2017-03-25
35, Garth Brooks ,19,7,28, 2017-03-25
36, Clean Bandit ,67,1,27, 2017-03-25
37, J. Cole ,30,1,100, 2017-03-25
38, Sia ,36,1,141, 2017-03-25
39, James Arthur ,43,1,10, 2017-03-25
40, Florida Georgia Line ,39,1,141, 2017-03-25
41, Eminem ,38,1,141, 2017-03-25
42, Lil Uzi Vert ,44,1,36, 2017-03-25
43, Jon Pardi ,45,1,21, 2017-03-25
44, Julia Michaels ,50,1,5, 2017-03-25
45, Travis Scott ,64,1,52, 2017-03-25
46, Beyonce ,33,2,139, 2017-03-25
47, Gucci Mane ,41,1,22, 2017-03-25
48, Post Malone ,53,1,37, 2017-03-25
49, Jason Aldean ,56,1,132, 2017-03-25
50, Brantley Gilbert ,42,1,47, 2017-03-25
51, John Legend ,55,1,95, 2017-03-25
52, Thomas Rhett ,54,1,110, 2017-03-25
53, Nicki Minaj ,35,1,131, 2017-03-25
54, Blake Shelton ,61,1,141, 2017-03-25
55, Michael Jackson ,47,1,109, 2017-03-25
56, Chris Brown ,66,1,135, 2017-03-25
57, Selena Gomez ,57,1,117, 2017-03-25
58, Train ,59,1,12, 2017-03-25
59, Brett Young ,65,1,14, 2017-03-25
60, Jon Bellion ,48,1,22, 2017-03-25
61, Panic! At The Disco ,60,1,68, 2017-03-25
62, KYLE ,75,62,7, 2017-03-25
63, Bebe Rexha ,52,1,36, 2017-03-25
64, Kendrick Lamar ,70,1,112, 2017-03-25
65, Calvin Harris ,49,1,102, 2017-03-25
66, DJ Khaled ,74,1,37, 2017-03-25
67, Daft Punk ,78,1,25, 2017-03-25
68, Camila Cabello ,62,1,24, 2017-03-25
69, Niall Horan ,63,1,24, 2017-03-25
70, Alison Krauss ,58,1,3, 2017-03-25
71, DJ Snake ,69,1,95, 2017-03-25
72, Eric Church ,68,1,134, 2017-03-25
73, Carrie Underwood ,79,3,128, 2017-03-25
74, Michael Ray ,93,57,6, 2017-03-25
75, P!nk ,80,16,60, 2017-03-25
76, Chris Stapleton ,72,1,72, 2017-03-25
77, Dierks Bentley ,84,1,74, 2017-03-25
78, Meghan Trainor ,77,1,137, 2017-03-25
79, Halsey ,71,4,68, 2017-03-25
80, The Notorious B.I.G. ,120,1,2, 2017-03-25
81, Zedd ,76,1,29, 2017-03-25
82, Lil Yachty ,87,1,29, 2017-03-25
83, Childish Gambino ,120,1,28, 2017-03-25
84, Kelsea Ballerini ,90,1,45, 2017-03-25
85, Auli'i Cravalho ,89,1,3, 2017-03-25
86, Kygo ,98,1,4, 2017-03-25
87, The Lumineers ,92,1,44, 2017-03-25
88, Machine Gun Kelly ,85,1,16, 2017-03-25
89, Nicky Jam ,100,1,8, 2017-03-25
90, Shakira ,94,1,27, 2017-03-25
91, Amine ,86,27,21, 2017-03-25
92, Kenny Chesney ,120,2,108, 2017-03-25
93, Prince ,73,1,35, 2017-03-25
94, Noah Cyrus ,120,1,1, 2017-03-25
95, Reba McEntire ,81,1,10, 2017-03-25
96, Maluma ,120,1,2, 2017-03-25
97, Luke Combs ,120,1,1, 2017-03-25
98, Remy Ma ,95,1,2, 2017-03-25
99, Cole Swindell ,120,1,118, 2017-03-25
100, Green Day ,120,1,12, 2017-03-25
1, Future ,1,1,85, 2017-03-18
2, Bruno Mars ,3,1,128, 2017-03-18
3, Ed Sheeran ,2,1,134, 2017-03-18
4, The Weeknd ,4,1,125, 2017-03-18
5, The Chainsmokers ,7,1,66, 2017-03-18
6, Rihanna ,9,2,136, 2017-03-18
7, Little Big Town ,37,1,59, 2017-03-18
8, Drake ,5,1,140, 2017-03-18
9, Migos ,11,1,21, 2017-03-18
10, Adele ,6,1,109, 2017-03-18
11, Shawn Mendes ,8,1,108, 2017-03-18
12, Big Sean ,10,1,82, 2017-03-18
13, twenty one pilots ,12,1,98, 2017-03-18
14, Metallica ,27,2,90, 2017-03-18
15, Justin Bieber ,28,1,139, 2017-03-18
16, Lady Gaga ,14,1,40, 2017-03-18
17, Alessia Cara ,26,1,78, 2017-03-18
18, Aaron Watson ,120,1,2, 2017-03-18
19, Garth Brooks ,17,7,27, 2017-03-18
20, John Mayer ,120,4,4, 2017-03-18
21, Sam Hunt ,24,1,133, 2017-03-18
22, Maroon 5 ,16,1,140, 2017-03-18
23, Ariana Grande ,18,1,138, 2017-03-18
24, Taylor Swift ,21,1,136, 2017-03-18
25, Justin Timberlake ,39,5,94, 2017-03-18
26, Katy Perry ,25,6,134, 2017-03-18
27, Kodak Black ,32,1,9, 2017-03-18
28, Rae Sremmurd ,23,1,104, 2017-03-18
29, Marian Hill ,34,1,7, 2017-03-18
30, J. Cole ,30,1,99, 2017-03-18
31, Keith Urban ,33,1,101, 2017-03-18
32, Zayn ,29,1,45, 2017-03-18
33, Beyonce ,22,2,138, 2017-03-18
34, BTS ,20,1,21, 2017-03-18
35, Nicki Minaj ,86,1,130, 2017-03-18
36, Sia ,31,1,140, 2017-03-18
37, Coldplay ,83,4,92, 2017-03-18
38, Eminem ,36,1,140, 2017-03-18
39, Florida Georgia Line ,43,1,140, 2017-03-18
40, Luke Bryan ,49,1,139, 2017-03-18
